Ground_truth Keywords,Extracted Keywords,Method,Precision,Recall,F1-score,n_gt_keywords,n_extracted_keywords
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']",[],Spacy_entities,0.0,0.0,0.0,6,0
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['separate accounts', 'new entrants', 'separate-account industry supplying web-based platforms', 'advisers tools', 'independent money managers']",Spacy_noun_chunks,0.2,0.2,0.20000000000000004,6,5
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['independent money managers', 'entrants shaking separate-account', 'shaking separate-account industry', 'separate-account industry supplying', 'industry supplying web-based', 'supplying web-based platforms', 'web-based platforms give', 'platforms give advisers', 'give advisers tools', 'advisers tools pick', 'tools pick independent', 'pick independent money', 'investment', 'separate accounts', 'accounts go mainstream', 'money managers', 'entrants shaking', 'shaking separate-account', 'separate-account industry', 'industry supplying']",YAKE_keywords,0.2,0.8,0.32000000000000006,6,20
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['based platforms give advisers tools pick independent money managers', 'separate accounts go mainstream', 'new entrants shaking separate', 'account industry supplying web', 'investment']",RAKE_keywords,0.2,0.2,0.20000000000000004,6,5
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['independent', 'money', 'independent', 'separate', 'new', 'account', 'advisers']",Pyate_combo_basic_keywords,0.0,0.0,0.0,6,7
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['independent', 'money', 'independent', 'separate', 'new', 'account', 'advisers']",Pyate_basic_keywords,0.0,0.0,0.0,6,7
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['independent', 'separate', 'new', 'account', 'advisers', 'independent', 'money']",Pyate_cvalues_keywords,0.0,0.0,0.0,6,7
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['separate accounts', 'industry']",Summa_keywords,0.0,0.0,0.0,6,2
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['account' 'account industry' 'account industry supplying' 'accounts'
 'accounts mainstream' 'accounts mainstream investment' 'advisers'
 'advisers tools' 'advisers tools pick' 'based' 'based platforms'
 'based platforms advisers' 'entrants' 'entrants shaking'
 'entrants shaking separate' 'independent' 'independent money'
 'independent money managers' 'industry' 'industry supplying'
 'industry supplying web' 'investment' 'investment new'
 'investment new entrants' 'mainstream' 'mainstream investment'
 'mainstream investment new' 'managers' 'money' 'money managers' 'new'
 'new entrants' 'new entrants shaking' 'pick' 'pick independent'
 'pick independent money' 'platforms' 'platforms advisers'
 'platforms advisers tools' 'separate' 'separate account'
 'separate account industry' 'separate accounts'
 'separate accounts mainstream' 'shaking' 'shaking separate'
 'shaking separate account' 'supplying' 'supplying web'
 'supplying web based' 'tools' 'tools pick' 'tools pick independent' 'web'
 'web based' 'web based platforms']",TFIDF_keywords,0.07142857142857142,0.8,0.13114754098360656,6,56
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['separate', 'web based platforms', 'mainstream investment new', 'mainstream', 'investment new entrants', 'investment new', 'investment', 'industry supplying web', 'industry supplying', 'industry', 'independent money managers', 'independent money', 'independent', 'entrants shaking separate', 'entrants shaking', 'entrants', 'based platforms advisers', 'based platforms', 'based', 'advisers tools pick', 'advisers tools', 'advisers', 'accounts mainstream investment', 'accounts mainstream', 'accounts', 'account industry supplying', 'account industry', 'mainstream investment', 'managers', 'web based', 'separate accounts', 'web', 'tools pick independent', 'tools pick', 'tools', 'supplying web based', 'supplying web', 'supplying', 'shaking separate account', 'shaking separate', 'shaking', 'separate accounts mainstream', 'separate account industry', 'money', 'separate account', 'platforms advisers tools', 'platforms advisers', 'platforms', 'pick independent money', 'pick independent', 'pick', 'new entrants shaking', 'new entrants', 'new', 'money managers', 'account']",LSA_keywords,0.07142857142857142,0.8,0.13114754098360656,6,56
"['separate-account industry', 'Web-based platforms', 'independent money managers', 'investment', 'financial advisors', 'investment']","['give', 'web-based', 'entrants', 'independent', 'pick', 'new', 'supplying', 'platforms', 'separate-account', 'managers']",LDA_keywords,0.0,0.0,0.0,6,10
"['classicism', 'universality', 'classical component of mind', 'human cognition', 'universal generalization', 'connectionist models', 'classical symbol \tsystems', 'syntax-sensitive rules', 'causal explanations', 'mental processes', 'cognitive systems', 'neural nets', 'philosophical aspects']","['one', '66', '37', '243', '1998']",Spacy_entities,0.0,0.0,0.0,13,5
"['classicism', 'universality', 'classical component of mind', 'human cognition', 'universal generalization', 'connectionist models', 'classical symbol \tsystems', 'syntax-sensitive rules', 'causal explanations', 'mental processes', 'cognitive systems', 'neural nets', 'philosophical aspects']","['classicism', 'universality', 'arguments', 'one hallmarks human cognition capacity', 'arbitrary constituents', 'marcus', '(cognition', 'p.153', 'cognitive psychology', 'p.', 'capacity', '""universal generalization', '(universality', 'connectionist models', 'universality', 'classical symbol systems', 'connectionism implementation', 'universality', 'classicism syntax-sensitive rules', 'causal explanations mental processes', 'possible generalizations', 'information', 'appropriate alternative', 'universality', 'classical theory']",Spacy_noun_chunks,0.2727272727272727,0.46153846153846156,0.3428571428571428,13,25
"['classicism', 'universality', 'classical component of mind', 'human cognition', 'universal generalization', 'connectionist models', 'classical symbol \tsystems', 'syntax-sensitive rules', 'causal explanations', 'mental processes', 'cognitive systems', 'neural nets', 'philosophical aspects']","['universality', 'classicism explain', 'classicism explain universality', 'explain universality', 'generalize arbitrary constituents', 'classical', 'explain', 'arguments pure classical', 'hallmarks human cognition', 'argued', 'cognition', 'explained classical', 'arguments pure', 'arbitrary constituents', 'capacity generalize arbitrary', 'capacity', 'cognition capacity generalize', 'human cognition capacity', 'classicism', 'explained']",YAKE_keywords,0.15,0.23076923076923078,0.18181818181818185,13,20
"['classicism', 'universality', 'classical component of mind', 'human cognition', 'universal generalization', 'connectionist models', 'classical symbol \tsystems', 'syntax-sensitive rules', 'causal explanations', 'mental processes', 'cognitive systems', 'neural nets', 'philosophical aspects']","['arguments pure classical component mind one hallmarks human cognition capacity generalize arbitrary constituents', 'sensitive rules supposed provide causal explanations mental processes either strict', 'universality best explained classical symbol systems', 'argued universality also problem classicism syntax', 'universality ), supported connectionist models', 'universality explained classical theory', 'providing information appropriate alternative', 'classicism explain universality', 'argued capacity', 'cognition 66', 'precluding possible generalizations', 'cognitive psychology 37', 'universal generalization', 'connectionism implementation', 'p', 'p', 'marcus', 'lax', 'instead', 'consequently', 'called', '243', '1998', '153']",RAKE_keywords,0.043478260869565216,0.07692307692307693,0.05555555555555555,13,24
